System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
QTF DMA1,2025-08-26,90840.00,72714.86,100.06,100.00,18125.14,0.06,29599943.00,0.00,0.00,0.00,0.00
QTF NLONG1,2025-08-26,1021.04,0.00,100.10,100.00,1021.04,0.10,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG10,2025-08-26,4758.85,0.00,100.46,100.00,4758.85,0.46,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG11,2025-08-26,5570.86,0.00,100.53,100.00,5570.86,0.53,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG12,2025-08-26,4758.85,0.00,100.46,100.00,4758.85,0.46,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG13,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG14,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG15,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG16,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG17,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG18,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG19,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG2,2025-08-26,3929.12,0.00,100.38,100.00,3929.12,0.38,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG20,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG21,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG22,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG23,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG24,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG3,2025-08-26,5570.86,0.00,100.53,100.00,5570.86,0.53,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG4,2025-08-26,3634.94,0.00,100.35,100.00,3634.94,0.35,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG5,2025-08-26,5570.86,0.00,100.53,100.00,5570.86,0.53,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG6,2025-08-26,4027.18,0.00,100.39,100.00,4027.18,0.39,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG7,2025-08-26,5570.86,0.00,100.53,100.00,5570.86,0.53,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG8,2025-08-26,4758.85,0.00,100.46,100.00,4758.85,0.46,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG9,2025-08-26,5570.86,0.00,100.53,100.00,5570.86,0.53,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG1,2025-08-26,655.65,0.00,100.06,100.00,655.65,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG10,2025-08-26,1403.21,0.00,100.13,100.00,1403.21,0.13,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG11,2025-08-26,6099.50,0.00,100.59,100.00,6099.50,0.59,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG12,2025-08-26,-5332.34,0.00,99.49,100.00,-5332.34,-0.51,1041664.67,0.00,0.00,0.00,-0.51
QTF SLONG13,2025-08-26,43.69,0.00,100.00,100.00,43.69,0.00,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG14,2025-08-26,43.69,0.00,100.00,100.00,43.69,0.00,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG15,2025-08-26,0.00,0.00,100.00,100.00,0.00,0.00,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG16,2025-08-26,3787.26,0.00,100.36,100.00,3787.26,0.36,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG17,2025-08-26,43.69,0.00,100.00,100.00,43.69,0.00,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG18,2025-08-26,43.69,0.00,100.00,100.00,43.69,0.00,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG19,2025-08-26,0.00,0.00,100.00,100.00,0.00,0.00,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG2,2025-08-26,1194.02,0.00,100.11,100.00,1194.02,0.11,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG20,2025-08-26,3787.26,0.00,100.36,100.00,3787.26,0.36,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG21,2025-08-26,43.69,0.00,100.00,100.00,43.69,0.00,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG22,2025-08-26,43.69,0.00,100.00,100.00,43.69,0.00,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG23,2025-08-26,0.00,0.00,100.00,100.00,0.00,0.00,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG24,2025-08-26,3787.26,0.00,100.36,100.00,3787.26,0.36,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG3,2025-08-26,6099.50,0.00,100.59,100.00,6099.50,0.59,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG4,2025-08-26,-5406.74,0.00,99.48,100.00,-5406.74,-0.52,1041664.67,0.00,0.00,0.00,-0.52
QTF SLONG5,2025-08-26,655.65,0.00,100.06,100.00,655.65,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF SLONG6,2025-08-26,1677.78,0.00,100.16,100.00,1677.78,0.16,1041664.67,0.00,0.00,0.00,0.00
