System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
QTF NLONG1,2025-08-26,1021.04,0.00,100.10,100.00,1021.04,0.10,1041664.67,0.00,0.00,0.00,0.00
NLONG1,2025-08-26,1021.04,0.00,100.10,100.00,1021.04,0.10,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG10,2025-08-26,4758.85,0.00,100.46,100.00,4758.85,0.46,1041664.67,0.00,0.00,0.00,0.00
NLONG10,2025-08-26,4758.85,0.00,100.46,100.00,4758.85,0.46,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG11,2025-08-26,5570.86,0.00,100.53,100.00,5570.86,0.53,1041664.67,0.00,0.00,0.00,0.00
NLONG11,2025-08-26,5570.86,0.00,100.53,100.00,5570.86,0.53,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG12,2025-08-26,4758.85,0.00,100.46,100.00,4758.85,0.46,1041664.67,0.00,0.00,0.00,0.00
NLONG12,2025-08-26,4758.85,0.00,100.46,100.00,4758.85,0.46,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG13,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG13,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG14,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG14,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG15,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG15,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG16,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG16,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG17,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG17,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG18,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG18,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG19,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG19,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG2,2025-08-26,3929.12,0.00,100.38,100.00,3929.12,0.38,1041664.67,0.00,0.00,0.00,0.00
NLONG2,2025-08-26,3929.12,0.00,100.38,100.00,3929.12,0.38,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG20,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG20,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG21,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG21,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG22,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG22,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG23,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG23,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG24,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
NLONG24,2025-08-26,632.82,0.00,100.06,100.00,632.82,0.06,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG3,2025-08-26,5570.86,0.00,100.53,100.00,5570.86,0.53,1041664.67,0.00,0.00,0.00,0.00
NLONG3,2025-08-26,5570.86,0.00,100.53,100.00,5570.86,0.53,1041664.67,0.00,0.00,0.00,0.00
QTF NLONG4,2025-08-26,3634.94,0.00,100.35,100.00,3634.94,0.35,1041664.67,0.00,0.00,0.00,0.00
