identifier,scheme_or_strategy,year,month,percent,cash,capital_in_out
QUS0001,Qode Yield Enhancer++,2024,10,1.31,841809.88,16300085.07
QUS0001,Qode Yield Enhancer++,2024,11,6.02,3890915.17,-110623.52
QUS0001,Qode Yield Enhancer++,2024,12,-0.68,-364588.40,0.00
QUS0001,Qode Yield Enhancer++,2025,1,1.89,1245299.40,0.00
QUS0001,Qode Yield Enhancer++,2025,2,3.02,1827028.09,0.00
QUS0001,Qode Yield Enhancer++,2025,3,1.23,781156.27,-9021873.64
QUS0001,Qode Yield Enhancer++,2025,4,11.38,6573051.60,-4516486.60
QUS0001,Qode Yield Enhancer++,2025,5,-1.43,-975397.87,1295689.75
QUS0001,Qode Yield Enhancer++,2025,6,5.00,3443810.89,-3850863.27
QUS0001,Qode Yield Enhancer++,2025,7,0.41,324461.00,1194530.22
QUS0001,Qode Yield Enhancer++,2025,8,2.21,1876946.39,-460108.08
QUS0001,Qode Yield Enhancer++,2025,9,2.49,2126991.16,-1423580.49
QUS0001,Qode Yield Enhancer++,2025,10,-0.13,-85241.21,-293873.74
QUS0001,Qode Yield Enhancer++,2025,11,2.10,1684295.96,-1298347.08
QUS0001,Qode Yield Enhancer++,2025,12,2.02,1656484.81,-2364863.75
QUS0001,Qode Yield Enhancer++,2026,1,0.97,812881.00,-998806.22
QUS0001,Qode Yield Enhancer++,2026,2,6.26,5239654.25,-1551084.41
QUS0001,Qode Yield Enhancer++,2026,3,12.68,11414068.67,-10201922.33
QUS0006,Qode Yield Enhancer (Jainam),2025,4,-0.55,-54604.10,10000000.00
QUS0006,Qode Yield Enhancer (Jainam),2025,5,-2.55,-249081.20,0.00
QUS0006,Qode Yield Enhancer (Jainam),2025,6,1.93,198491.30,0.00
QUS0020,PMS Strategy,2024,11,-89.78,109043.99,5000000.00
QUS0020,PMS Strategy,2024,12,-2.69,-137201.68,0.00
QUS0020,PMS Strategy,2025,1,-13.69,-715745.61,2000000.00
QUS0020,PMS Strategy,2025,2,-10.96,-685441.10,0.00
QUS0020,PMS Strategy,2025,3,10.64,592651.77,0.00
QUS0020,PMS Strategy,2025,4,3.37,207568.30,0.00
QUS0020,PMS Strategy,2025,5,5.95,379168.44,0.00
QUS0020,PMS Strategy,2025,6,-0.46,-31375.91,0.00
QUS0020,PMS Strategy,2025,7,2.84,190938.73,-146.79
QUS0020,PMS Strategy,2025,8,0.30,20991.05,82.30
QUS0020,PMS Strategy,2025,9,4.07,281843.40,100.00
QUS0020,PMS Strategy,2025,10,-0.34,-24502.80,-549.81
QUS0020,PMS Strategy,2025,11,-6.00,-431575.35,0.00
QUS0020,PMS Strategy,2025,12,-10.46,-706733.99,104.00
QUS0020,PMS Strategy,2026,1,-10.53,-637108.63,-170.11
QUS0020,PMS Strategy,2026,2,5.89,318801.61,0.00
QUS0020,PMS Strategy,2026,3,6.02,345059.64,0.00
QUS00067,Qode Yield Enhancer++,2026,2,0.67,371527.27,13843132.86
QUS00067,Qode Yield Enhancer++,2026,3,11.15,6082449.17,-6285124.11
QUS00068,Qode Yield Enhancer++,2026,1,-0.77,-328002.15,11309892.78
QUS00068,Qode Yield Enhancer++,2026,2,6.15,2799640.97,-856167.33
QUS00068,Qode Yield Enhancer++,2026,3,11.09,5434306.07,-6173547.63
QUS00073,Qode All Weather++,2025,8,0.00,0.00,0.00
QUS00073,Qode All Weather++,2025,9,6.15,2861681.26,46449515.69
QUS00073,Qode All Weather++,2025,10,2.55,1267550.90,0.00
QUS00073,Qode All Weather++,2025,11,3.68,1859551.44,0.00
QUS00073,Qode All Weather++,2025,12,2.16,1133883.66,0.00
QUS00073,Qode All Weather++,2026,1,6.77,3624433.65,0.00
QUS00073,Qode All Weather++,2026,2,10.22,5843549.68,0.00
QUS00073,Qode All Weather++,2026,3,5.11,3215282.31,0.00
QUS00074,Qode Yield Enhancer+,2025,10,0.01,4492.98,5900307.64
QUS00074,Qode Yield Enhancer+,2025,11,1.28,585450.61,-743286.36
QUS00074,Qode Yield Enhancer+,2025,12,1.14,505517.55,-637910.87
QUS00074,Qode Yield Enhancer+,2026,1,0.09,103375.63,-903709.18
QUS00074,Qode Yield Enhancer+,2026,2,4.73,2032624.46,357678.38
QUS00074,Qode Yield Enhancer+,2026,3,8.05,4297828.54,-4129760.69
QUS00078,Qode Yield Enhancer++,2025,10,3.25,3262849.30,100000000.00
QUS00078,Qode Yield Enhancer++,2025,11,5.50,6577479.74,43260091.95
QUS00078,Qode Yield Enhancer++,2025,12,1.59,2429310.93,0.00
QUS00079,Qode Yield Enhancer++,2025,12,-0.46,-631385.62,34249296.56
QUS00079,Qode Yield Enhancer++,2026,1,0.54,561021.82,34004330.91
QUS00079,Qode Yield Enhancer++,2026,2,6.75,19436715.98,2798035.20
QUS00079,Qode Yield Enhancer++,2026,3,12.03,40428488.80,-8101460.55
QUS00080,Qode Yield Enhancer++,2025,11,-0.12,-58217.61,50000000.00
QUS00080,Qode Yield Enhancer++,2025,12,1.85,933424.04,0.00
QUS00080,Qode Yield Enhancer++,2026,1,0.81,406203.33,0.00
QUS00080,Qode Yield Enhancer++,2026,2,5.38,2770304.48,0.00
QUS00080,Qode Yield Enhancer++,2026,3,12.93,10890846.59,43931797.05
QUS00081,Qode All Weather++,2026,1,4.32,2200503.79,51041445.53
QUS00081,Qode All Weather++,2026,2,7.10,3779026.86,-232227.00
QUS00081,Qode All Weather++,2026,3,5.73,3227022.87,-1000000.00
QUS00082,Qode Yield Enhancer++,2025,11,0.93,460304.55,50000000.00
QUS00082,Qode Yield Enhancer++,2025,12,3.45,1738816.47,0.00
QUS00082,Qode Yield Enhancer++,2026,1,2.09,1087344.67,0.00
QUS00082,Qode Yield Enhancer++,2026,2,7.18,3825631.69,0.00
QUS00083,Qode Yield Enhancer++,2025,12,2.25,2244592.09,100000000.00
QUS00083,Qode Yield Enhancer++,2026,1,1.96,2023937.72,0.00
QUS00083,Qode Yield Enhancer++,2026,2,6.04,6293222.04,0.00
QUS00084,Qode Yield Enhancer+,2025,12,1.71,575073.08,5871182.17
QUS00084,Qode Yield Enhancer+,2026,1,0.57,201144.26,-378479.35
QUS00084,Qode Yield Enhancer+,2026,2,5.96,2049660.31,-1233734.13
QUS00084,Qode Yield Enhancer+,2026,3,11.66,4219859.06,-3648597.43
QUS00085,Qode Yield Enhancer++,2026,1,0.15,321262.64,41929532.11
QUS00085,Qode Yield Enhancer++,2026,2,7.18,12582129.17,-5927101.69
QUS00085,Qode Yield Enhancer++,2026,3,12.06,21097379.70,-12002782.07
QUS00086,Qode Yield Enhancer+,2026,1,0.26,161141.71,5402738.48
QUS00086,Qode Yield Enhancer+,2026,2,4.15,1953510.21,-794205.71
QUS00086,Qode Yield Enhancer+,2026,3,8.42,4269632.24,-3764450.47
QUS00087,Qode Yield Enhancer++,2026,1,-0.03,-12797.23,30000000.00
QUS00087,Qode Yield Enhancer++,2026,2,6.70,2011038.25,0.00
QUS00087,Qode Yield Enhancer++,2026,3,12.09,3678193.58,13536700.85
QUS00088,Qode Yield Enhancer+,2026,2,0.62,317739.77,6116977.66
QUS00088,Qode Yield Enhancer+,2026,3,8.75,4261793.86,-3175392.23
QUS00089,Qode Yield Enhancer++,2026,2,-0.43,-708983.66,167673849.20
QUS00089,Qode Yield Enhancer++,2026,3,1.01,1699803.81,0.00
QUS00090,Qode All Weather++,2025,2,1.40,2487820.14,176654788.20
QUS00090,Qode All Weather++,2025,3,-1.58,-2569796.81,26193203.19
QUS00090,Qode All Weather++,2025,4,-6.74,-13993315.02,21177300.30
QUS00090,Qode All Weather++,2025,5,-1.93,-4038487.40,-23361512.60
QUS00090,Qode All Weather++,2025,6,2.76,5057659.60,-21197659.60
QUS00090,Qode All Weather++,2025,7,0.44,702077.08,20601698.46
QUS00090,Qode All Weather++,2025,8,0.73,1085666.24,-48741128.61
QUS00090,Qode All Weather++,2025,9,2.93,4142772.50,0.00
QUS00090,Qode All Weather++,2025,10,0.95,1634473.71,-21111918.79
QUS00091,Qode Yield Enhancer++,2025,4,1.60,1506556.69,67972106.31
QUS00091,Qode Yield Enhancer++,2025,5,-2.14,-1485976.31,0.00
QUS00091,Qode Yield Enhancer++,2025,6,3.12,2132202.45,107475110.90
QUS00091,Qode Yield Enhancer++,2025,7,0.38,835504.19,-25281538.84
QUS00091,Qode Yield Enhancer++,2025,8,0.36,-172150.75,900771.12
QUS00091,Qode Yield Enhancer++,2025,9,2.23,3426237.22,0.00
QUS00091,Qode Yield Enhancer++,2025,10,-0.18,-292075.63,427143.68
QUS00091,Qode Yield Enhancer++,2025,11,1.74,2735246.90,0.00
QUS00091,Qode Yield Enhancer++,2025,12,2.43,3920680.18,0.00
QUS00093,Qode All Weather++,2025,8,1.88,1432270.33,97005651.89
QUS00093,Qode All Weather++,2025,9,12.22,12354725.55,23117683.22
QUS00093,Qode All Weather++,2025,10,4.51,6058752.57,1499600.01
QUS00093,Qode All Weather++,2025,11,4.85,7261499.31,10000000.00
QUS00093,Qode All Weather++,2025,12,1.18,1890105.16,-439.50
QUS00093,Qode All Weather++,2026,1,0.83,1293713.12,0.00
QUS00093,Qode All Weather++,2026,2,14.05,22972148.94,2499630.86
QUS00094,Qode All Weather++,2025,9,0.40,3173377.82,800000000.00
QUS00094,Qode All Weather++,2025,10,2.14,17188940.49,0.00
QUS00094,Qode All Weather++,2025,11,3.44,28058032.30,0.00
QUS00094,Qode All Weather++,2025,12,-0.14,-1102017.43,0.00
