identifier,scheme_or_strategy,year,quarter,percent,cash
QUS0001,Qode Yield Enhancer++,2024,1,,0.00
QUS0001,Qode Yield Enhancer++,2024,2,,0.00
QUS0001,Qode Yield Enhancer++,2024,3,,0.00
QUS0001,Qode Yield Enhancer++,2024,4,6.68,4368136.65
QUS0001,Qode Yield Enhancer++,2025,1,6.26,3853483.76
QUS0001,Qode Yield Enhancer++,2025,2,15.28,9041464.62
QUS0001,Qode Yield Enhancer++,2025,3,5.18,4328398.55
QUS0001,Qode Yield Enhancer++,2025,4,4.03,3255539.56
QUS0001,Qode Yield Enhancer++,2026,1,20.90,17466603.92
QUS0001,Qode Yield Enhancer++,2026,2,,0.00
QUS0001,Qode Yield Enhancer++,2026,3,,0.00
QUS0001,Qode Yield Enhancer++,2026,4,,0.00
QUS0006,Qode Yield Enhancer (Jainam),2025,1,,0.00
QUS0006,Qode Yield Enhancer (Jainam),2025,2,-1.22,-105194.00
QUS0006,Qode Yield Enhancer (Jainam),2025,3,,0.00
QUS0006,Qode Yield Enhancer (Jainam),2025,4,,0.00
QUS0020,PMS Strategy,2024,1,,0.00
QUS0020,PMS Strategy,2024,2,,0.00
QUS0020,PMS Strategy,2024,3,,0.00
QUS0020,PMS Strategy,2024,4,-90.05,-28157.69
QUS0020,PMS Strategy,2025,1,-14.97,-808534.94
QUS0020,PMS Strategy,2025,2,9.02,555360.83
QUS0020,PMS Strategy,2025,3,7.35,493773.18
QUS0020,PMS Strategy,2025,4,-16.12,-1162812.14
QUS0020,PMS Strategy,2026,1,0.44,26752.62
QUS0020,PMS Strategy,2026,2,,0.00
QUS0020,PMS Strategy,2026,3,,0.00
QUS0020,PMS Strategy,2026,4,,0.00
QUS00067,Qode Yield Enhancer++,2026,1,11.89,6453976.44
QUS00067,Qode Yield Enhancer++,2026,2,,0.00
QUS00067,Qode Yield Enhancer++,2026,3,,0.00
QUS00067,Qode Yield Enhancer++,2026,4,,0.00
QUS00068,Qode Yield Enhancer++,2026,1,17.01,7905944.89
QUS00068,Qode Yield Enhancer++,2026,2,,0.00
QUS00068,Qode Yield Enhancer++,2026,3,,0.00
QUS00068,Qode Yield Enhancer++,2026,4,,0.00
QUS00073,Qode All Weather++,2025,1,,0.00
QUS00073,Qode All Weather++,2025,2,,0.00
QUS00073,Qode All Weather++,2025,3,6.15,2861681.26
QUS00073,Qode All Weather++,2025,4,8.62,4260986.00
QUS00073,Qode All Weather++,2026,1,23.70,12683265.64
QUS00073,Qode All Weather++,2026,2,,0.00
QUS00073,Qode All Weather++,2026,3,,0.00
QUS00073,Qode All Weather++,2026,4,,0.00
QUS00074,Qode Yield Enhancer+,2025,1,,0.00
QUS00074,Qode Yield Enhancer+,2025,2,,0.00
QUS00074,Qode Yield Enhancer+,2025,3,,0.00
QUS00074,Qode Yield Enhancer+,2025,4,2.44,1095461.14
QUS00074,Qode Yield Enhancer+,2026,1,13.26,6433828.63
QUS00074,Qode Yield Enhancer+,2026,2,,0.00
QUS00074,Qode Yield Enhancer+,2026,3,,0.00
QUS00074,Qode Yield Enhancer+,2026,4,,0.00
QUS00078,Qode Yield Enhancer++,2025,1,,0.00
QUS00078,Qode Yield Enhancer++,2025,2,,0.00
QUS00078,Qode Yield Enhancer++,2025,3,,0.00
QUS00078,Qode Yield Enhancer++,2025,4,10.66,12269639.97
QUS00079,Qode Yield Enhancer++,2025,1,,0.00
QUS00079,Qode Yield Enhancer++,2025,2,,0.00
QUS00079,Qode Yield Enhancer++,2025,3,,0.00
QUS00079,Qode Yield Enhancer++,2025,4,-0.46,-631385.62
QUS00079,Qode Yield Enhancer++,2026,1,20.24,60426226.60
QUS00079,Qode Yield Enhancer++,2026,2,,0.00
QUS00079,Qode Yield Enhancer++,2026,3,,0.00
QUS00079,Qode Yield Enhancer++,2026,4,,0.00
QUS00080,Qode Yield Enhancer++,2025,1,,0.00
QUS00080,Qode Yield Enhancer++,2025,2,,0.00
QUS00080,Qode Yield Enhancer++,2025,3,,0.00
QUS00080,Qode Yield Enhancer++,2025,4,1.73,875206.43
QUS00080,Qode Yield Enhancer++,2026,1,19.97,14067354.40
QUS00080,Qode Yield Enhancer++,2026,2,,0.00
QUS00080,Qode Yield Enhancer++,2026,3,,0.00
QUS00080,Qode Yield Enhancer++,2026,4,,0.00
QUS00081,Qode All Weather++,2026,1,18.13,9206553.52
QUS00081,Qode All Weather++,2026,2,,0.00
QUS00081,Qode All Weather++,2026,3,,0.00
QUS00081,Qode All Weather++,2026,4,,0.00
QUS00082,Qode Yield Enhancer++,2025,1,,0.00
QUS00082,Qode Yield Enhancer++,2025,2,,0.00
QUS00082,Qode Yield Enhancer++,2025,3,,0.00
QUS00082,Qode Yield Enhancer++,2025,4,4.41,2199121.02
QUS00082,Qode Yield Enhancer++,2026,1,9.42,4912976.36
QUS00082,Qode Yield Enhancer++,2026,2,,0.00
QUS00082,Qode Yield Enhancer++,2026,3,,0.00
QUS00082,Qode Yield Enhancer++,2026,4,,0.00
QUS00083,Qode Yield Enhancer++,2025,1,,0.00
QUS00083,Qode Yield Enhancer++,2025,2,,0.00
QUS00083,Qode Yield Enhancer++,2025,3,,0.00
QUS00083,Qode Yield Enhancer++,2025,4,2.25,2244592.09
QUS00083,Qode Yield Enhancer++,2026,1,8.12,8317159.76
QUS00083,Qode Yield Enhancer++,2026,2,,0.00
QUS00083,Qode Yield Enhancer++,2026,3,,0.00
QUS00083,Qode Yield Enhancer++,2026,4,,0.00
QUS00084,Qode Yield Enhancer+,2025,1,,0.00
QUS00084,Qode Yield Enhancer+,2025,2,,0.00
QUS00084,Qode Yield Enhancer+,2025,3,,0.00
QUS00084,Qode Yield Enhancer+,2025,4,1.71,575073.08
QUS00084,Qode Yield Enhancer+,2026,1,18.99,6470663.63
QUS00084,Qode Yield Enhancer+,2026,2,,0.00
QUS00084,Qode Yield Enhancer+,2026,3,,0.00
QUS00084,Qode Yield Enhancer+,2026,4,,0.00
QUS00085,Qode Yield Enhancer++,2026,1,20.29,34000771.51
QUS00085,Qode Yield Enhancer++,2026,2,,0.00
QUS00085,Qode Yield Enhancer++,2026,3,,0.00
QUS00085,Qode Yield Enhancer++,2026,4,,0.00
QUS00086,Qode Yield Enhancer+,2026,1,13.21,6384284.16
QUS00086,Qode Yield Enhancer+,2026,2,,0.00
QUS00086,Qode Yield Enhancer+,2026,3,,0.00
QUS00086,Qode Yield Enhancer+,2026,4,,0.00
QUS00087,Qode Yield Enhancer++,2026,1,19.56,5676434.60
QUS00087,Qode Yield Enhancer++,2026,2,,0.00
QUS00087,Qode Yield Enhancer++,2026,3,,0.00
QUS00087,Qode Yield Enhancer++,2026,4,,0.00
QUS00088,Qode Yield Enhancer+,2026,1,9.42,4579533.63
QUS00088,Qode Yield Enhancer+,2026,2,,0.00
QUS00088,Qode Yield Enhancer+,2026,3,,0.00
QUS00088,Qode Yield Enhancer+,2026,4,,0.00
QUS00089,Qode Yield Enhancer++,2026,1,0.58,990820.15
QUS00089,Qode Yield Enhancer++,2026,2,,0.00
QUS00089,Qode Yield Enhancer++,2026,3,,0.00
QUS00089,Qode Yield Enhancer++,2026,4,,0.00
QUS00090,Qode All Weather++,2025,1,-0.20,-81976.67
QUS00090,Qode All Weather++,2025,2,-6.02,-12974142.82
QUS00090,Qode All Weather++,2025,3,4.14,5930515.82
QUS00090,Qode All Weather++,2025,4,0.95,1634473.71
QUS00091,Qode Yield Enhancer++,2025,1,,0.00
QUS00091,Qode Yield Enhancer++,2025,2,2.53,2152782.83
QUS00091,Qode Yield Enhancer++,2025,3,2.99,4089590.66
QUS00091,Qode Yield Enhancer++,2025,4,4.02,6363851.45
QUS00093,Qode All Weather++,2025,1,,0.00
QUS00093,Qode All Weather++,2025,2,,0.00
QUS00093,Qode All Weather++,2025,3,14.33,13786995.88
QUS00093,Qode All Weather++,2025,4,10.87,15210357.04
QUS00093,Qode All Weather++,2026,1,15.00,24265862.06
QUS00093,Qode All Weather++,2026,2,,0.00
QUS00093,Qode All Weather++,2026,3,,0.00
QUS00093,Qode All Weather++,2026,4,,0.00
QUS00094,Qode All Weather++,2025,1,,0.00
QUS00094,Qode All Weather++,2025,2,,0.00
QUS00094,Qode All Weather++,2025,3,0.40,3173377.82
QUS00094,Qode All Weather++,2025,4,5.51,44144955.36
QUS00094,Qode All Weather++,2026,1,8.71,73945039.70
QUS00094,Qode All Weather++,2026,2,,0.00
QUS00094,Qode All Weather++,2026,3,,0.00
QUS00094,Qode All Weather++,2026,4,,0.00
QUS00096,Qode Yield Enhancer++,2025,1,0.62,1854587.44
QUS00096,Qode Yield Enhancer++,2025,2,5.57,24332289.68
QUS00096,Qode Yield Enhancer++,2025,3,-1.33,-17884111.97
