identifier,scheme_or_strategy,year,total_percent,total_cash,total_capital_in_out
QUS0001,Qode Yield Enhancer++,2024,6.68,4368136.65,16189461.55
QUS0001,Qode Yield Enhancer++,2025,34.03,20478886.49,-20739776.68
QUS0001,Qode Yield Enhancer++,2026,18.29,15396920.64,-10269185.87
QUS0006,Qode Yield Enhancer (Jainam),2025,-1.22,-105194,10000000
QUS0020,PMS Strategy,2024,-90.05,-28157.69,5000000
QUS0020,PMS Strategy,2025,-16.53,-922213.07,1999589.7
QUS0020,PMS Strategy,2026,-0.05,-3355.71,-170.11
QUS00067,Qode Yield Enhancer++,2025,5.75,2949611.94,3968728.26
QUS00067,Qode Yield Enhancer++,2026,16.06,8264791.45,511194.89
QUS00068,Qode Yield Enhancer++,2025,5.32,2640830.11,3076119.65
QUS00068,Qode Yield Enhancer++,2026,17.17,7929048.3,366652.05
QUS00073,Qode All Weather++,2025,15.30,7122667.25,46449515.69
QUS00073,Qode All Weather++,2026,27.93,14957617.63,0
QUS00074,Qode Yield Enhancer+,2025,2.44,1095461.14,4519110.41
QUS00074,Qode Yield Enhancer+,2026,12.25,5940191.53,-3919038.95
QUS00078,Qode Yield Enhancer++,2025,10.66,12269639.97,143260091.95
QUS00079,Qode Yield Enhancer++,2025,-0.46,-631385.62,34249296.56
QUS00079,Qode Yield Enhancer++,2026,18.10,53774930.16,8369907.79
QUS00080,Qode Yield Enhancer++,2025,1.73,875206.43,50000000
QUS00080,Qode Yield Enhancer++,2026,17.76,12063935.87,43931797.05
QUS00081,Qode All Weather++,2026,22.96,11618737.71,49809218.53
QUS00082,Qode Yield Enhancer++,2025,4.41,2199121.02,50000000
QUS00082,Qode Yield Enhancer++,2026,9.42,4912976.36,0
QUS00083,Qode Yield Enhancer++,2025,2.25,2244592.09,100000000
QUS00083,Qode Yield Enhancer++,2026,8.12,8317159.76,0
QUS00084,Qode Yield Enhancer+,2025,1.71,575073.08,5871182.17
QUS00084,Qode Yield Enhancer+,2026,17.57,5998276.4,-4536999.78
QUS00085,Qode Yield Enhancer++,2026,17.95,30297778.09,18064954.61
QUS00086,Qode Yield Enhancer+,2026,12.18,5888974.21,1397633.39
QUS00087,Qode Yield Enhancer++,2026,9.41,2820793.5,30000000
QUS00088,Qode Yield Enhancer+,2026,8.51,4103560.5,2787293.42
QUS00089,Qode Yield Enhancer++,2026,0.58,990820.16,167673849.2
QUS00090,Qode All Weather++,2025,-1.40,-5491129.96,130214770.55
QUS00091,Qode Yield Enhancer++,2025,9.84,12606224.94,151493593.17
QUS00093,Qode All Weather++,2025,26.76,28997352.92,131622495.62
QUS00093,Qode All Weather++,2026,15.00,24265862.06,2499630.86
QUS00094,Qode All Weather++,2025,5.93,47318333.19,800000000
QUS00094,Qode All Weather++,2026,8.71,73945039.7,0
QUS00096,Qode Yield Enhancer++,2025,4.49,2821412.64,-4128245.94
QUS00096,Qode Yield Enhancer++,2026,4.47,86485810.66,-94759140.15
QUS00097,Qode Yield Enhancer++,2026,9.93,5242234.07,9844305.03
QUS00105,Qode All Weather++,2026,8.35,6146736.4,73553750
QUS0007,Total Portfolio,2024,,28011544.76,21554036.46
QUS0007,Total Portfolio,2025,,137010316.46,365847745.46
QUS0007,Total Portfolio,2026,,223789325.04,-90317919.57
QUS0007,Scheme B,2024,11.16,28011544.76,21554036.46
QUS0007,Scheme B,2025,14.16,96600666.32,19360937.17
QUS0007,Scheme B,2026,11.47,148504005.6,-128231384.06
QUS0007,Scheme PMS QAW,2025,20.05,40409650.14,346486808.29
QUS0007,Scheme PMS QAW,2026,18.77,75285319.44,37913464.49
QUS0007,Scheme QAW,2025,7.96,7169015.32,0
QUS0007,Scheme A,2022,-13.5,-1432729.4,50000000
QUS0007,Scheme A,2023,262.9,22105739.2,35533740.85
QUS0007,Scheme A,2024,560.2,47094670.9,84930964.98
QUS0007,Scheme A,2025,18.5,12015493.7,-1460229217.73
QUS0007,Scheme C,2024,8.07,4035160.65,-4052160
QUS0007,Scheme D,2024,-0.16,-12287.12,1500000
QUS0007,Scheme D,2025,2.41,244827.1,-1732540
QUS0007,Scheme E,2024,2.36,5914281.13,0
QUS0007,Scheme E,2025,2.72,7106562.17,0
QUS0007,Scheme F,2024,2.13,5399550.24,0
QUS0007,Scheme F,2025,2.10,5554909.46,0
QUS0010,Total Portfolio,2024,,0,0
QUS0010,Total Portfolio,2025,,12503137.52,94075429.94
QUS0010,Total Portfolio,2026,,31881523.25,32236957.53
QUS0010,Scheme PMS QAW,2025,13.29,12503137.52,94075429.94
QUS0010,Scheme PMS QAW,2026,19.36,20262785.54,-17572261
QUS0010,Scheme QAW++,2026,22.95,11618737.71,49809218.53
QUS0010,Scheme QYE++,2025,0.56,539872.4,12087253.28
QUS0010,Scheme QYE++,2026,0.49,247416.39,-65002.54
QUS0010,Scheme A,2024,-0.36,-246093.44,0
QUS0010,Scheme A,2025,-1.7,-988738.91,0
QUS0010,Scheme B,2024,2.23,1645377.07,-3353378.8
QUS0010,Scheme A (Old),2024,-0.64,-436319.8,436319.8
QUS00072,Total Portfolio,2025,11.93,5974380.93,49999904.7
QUS00072,Total Portfolio,2026,23.30,13064011.02,0
QUS00072,Scheme QAW++,2026,21.52,12232954.649600001,56805341.9993
QUS00072,Scheme QTF,2025,11.93,5974380.93,49999904.7
QUS00072,Scheme QTF,2026,1.47,831056.37,-56805342
