System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
Total Portfolio Value Old,2024/06/19,,,100.00,,,0,,,,,0
Total Portfolio Value Old,2024/06/20,,,99.60,,,-0.403663551,,,,,-0.403663551
Total Portfolio Value Old,2024/06/21,,,99.02,,,-0.576403225,,,,,-0.977740046
Total Portfolio Value Old,2024/06/24,,,99.40,,,0.379036739,,,,,-0.602409301
Total Portfolio Value B,2024/06/24,,,100,,,0,,,,,0
Total Portfolio Value B,2024/06/25,,,100.5073246,,,0.507324588,,,,,0
Total Portfolio Value B,2024/06/26,,,100.294804,,,-0.211447911,,,,,-0.211447911
Total Portfolio Value B,2024/06/27,,,100.2573178,,,-0.037375939,,,,,-0.248744819
Total Portfolio Value B,2024/06/28,,,100.2955837,,,0.038167628,,,,,-0.210672131
Total Portfolio Value B,2024/07/01,,,100.3448364,,,0.049107539,,,,,-0.161668048
Total Portfolio Value B,2024/07/02,,,100.3598611,,,0.014973079,,,,,-0.146719175
Total Portfolio Value B,2024/07/03,,,100.3051138,,,-0.054550922,,,,,-0.201190061
Total Portfolio Value B,2024/07/04,,,100.5510917,,,0.245229641,,,,,0
Total Portfolio Value B,2024/07/05,,,100.3594756,,,-0.190565934,,,,,-0.190565934
Total Portfolio Value B,2024/07/08,,,100.1522267,,,-0.206506546,,,,,-0.396678949
Total Portfolio Value B,2024/07/09,,,100.2745851,,,0.122172445,,,,,-0.274991137
Total Portfolio Value B,2024/07/10,,,100.1856893,,,-0.088652398,,,,,-0.363399748
Total Portfolio Value B,2024/07/11,,,99.79110758,,,-0.393850383,,,,,-0.75581888
Total Portfolio Value B,2024/07/12,,,99.7640813,,,-0.027082851,,,,,-0.782697034
Total Portfolio Value B,2024/07/15,,,99.75869939,,,-0.005394633,,,,,-0.788049443
Total Portfolio Value B,2024/07/16,,,99.7933384,,,0.03472279,,,,,-0.753600286
Total Portfolio Value B,2024/07/18,,,99.30732491,,,-0.487019966,,,,,-1.236950068
Total Portfolio Value B,2024/07/19,,,99.12045734,,,-0.188170987,,,,,-1.422793474
Total Portfolio Value B,2024/07/22,,,99.120686,,,0.000230692,,,,,-1.422566064
Total Portfolio Value B,2024/07/23,,,99.17697218,,,0.056785503,,,,,-1.366588372
Total Portfolio Value B,2024/07/24,,,98.86198504,,,-0.317601086,,,,,-1.679849159
Total Portfolio Value B,2024/07/25,,,99.05651017,,,0.196764337,,,,,-1.486390165
Total Portfolio Value B,2024/07/26,,,99.74314516,,,0.693175027,,,,,-0.803518424
Total Portfolio Value B,2024/07/29,,,100.11,,,0.36,,,,,-0.44
Total Portfolio Value B,2024/07/30,,,99.70674176,,,-0.402815146,,,,,-0.839722313
Total Portfolio Value B,2024/07/31,,,99.57614077,,,-0.130985114,,,,,-0.969607515
Total Portfolio Value B,2024/08/01,,,99.57261498,,,-0.003540793,,,,,-0.973113977
Total Portfolio Value B,2024/08/02,,,99.5313575,,,-0.041434573,,,,,-1.014145344
Total Portfolio Value B,2024/08/05,,,100.2479032,,,0.719919566,,,,,-0.301526809
Total Portfolio Value B,2024/08/06,,,100.0641938,,,-0.183255114,,,,,-0.48422936
Total Portfolio Value B,2024/08/07,,,98.91272912,,,-1.150725991,,,,,-1.629383198
Total Portfolio Value B,2024/08/08,,,98.47433908,,,-0.443208914,,,,,-2.06537054
Total Portfolio Value B,2024/08/09,,,98.47338378,,,-0.000970102,,,,,-2.066320606
Total Portfolio Value B,2024/08/12,,,98.19109701,,,-0.286663017,,,,,-2.347060247
Total Portfolio Value B,2024/08/13,,,99.04307084,,,0.867669128,,,,,-1.499755836
Total Portfolio Value B,2024/08/14,,,99.12243911,,,0.080135101,,,,,-1.420822565
Total Portfolio Value B,2024/08/16,,,99.13569127,,,0.013369484,,,,,-1.407643038
Total Portfolio Value B,2024/08/19,,,99.20787703,,,0.072815113,,,,,-1.335852901
Total Portfolio Value B,2024/08/20,,,99.22108187,,,0.013310268,,,,,-1.322720439
Total Portfolio Value B,2024/08/21,,,99.10736332,,,-0.114611273,,,,,-1.435815725
Total Portfolio Value B,2024/08/22,,,99.24656811,,,0.140458572,,,,,-1.297373879
Total Portfolio Value B,2024/08/23,,,99.18100492,,,-0.06606092,,,,,-1.362577742
Total Portfolio Value B,2024/08/26,,,99.33759908,,,0.157887252,,,,,-1.206841827
Total Portfolio Value B,2024/08/27,,,99.17077167,,,-0.167939839,,,,,-1.372754898
Total Portfolio Value B,2024/08/28,,,99.11833368,,,-0.052876464,,,,,-1.424905497
Total Portfolio Value B,2024/08/29,,,98.70303172,,,-0.418996104,,,,,-1.837931303
Total Portfolio Value B,2024/08/30,,,98.82592276,,,0.124505846,,,,,-1.715713789
Total Portfolio Value B,2024/09/02,,,98.69507869,,,-0.132398531,,,,,-1.845840741
Total Portfolio Value B,2024/09/03,,,98.85216193,,,0.159160151,,,,,-1.689618433
Total Portfolio Value B,2024/09/04,,,98.44263441,,,-0.414282815,,,,,-2.096901448
Total Portfolio Value B,2024/09/05,,,98.47049794,,,0.028304327,,,,,-2.069190636
Total Portfolio Value B,2024/09/06,,,99.18249342,,,0.723054617,,,,,-1.361097397
Total Portfolio Value B,2024/09/09,,,99.58772878,,,0.408575497,,,,,-0.958083011
Total Portfolio Value B,2024/09/10,,,99.43532405,,,-0.153035655,,,,,-1.109652456
Total Portfolio Value B,2024/09/11,,,99.34072221,,,-0.095139072,,,,,-1.203735815
Total Portfolio Value B,2024/09/12,,,99.58596536,,,0.246870712,,,,,-0.959836774
Total Portfolio Value B,2024/09/13,,,99.79444458,,,0.209345987,,,,,-0.752500167
Total Portfolio Value B,2024/09/16,,,99.78093599,,,-0.013536417,,,,,-0.765934722
Total Portfolio Value B,2024/09/17,,,99.70134165,,,-0.079769076,,,,,-0.845092819
Total Portfolio Value B,2024/09/18,,,99.67871552,,,-0.022693911,,,,,-0.867594946
Total Portfolio Value B,2024/09/19,,,99.47352116,,,-0.20585574,,,,,-1.071664692
Total Portfolio Value B,2024/09/20,,,99.43384254,,,-0.039888631,,,,,-1.111125851
Total Portfolio Value B,2024/09/23,,,99.92046217,,,0.489390357,,,,,-0.627173237
Total Portfolio Value B,2024/09/24,,,99.75646837,,,-0.16412434,,,,,-0.790268233
Total Portfolio Value B,2024/09/25,,,99.84854641,,,0.092302825,,,,,-0.698694848
Total Portfolio Value B,2024/09/26,,,100.0782979,,,0.23009997,,,,,-0.470202574
Total Portfolio Value B,2024/09/27,,,100.3304984,,,0.252003183,,,,,-0.219384317
Total Portfolio Value B,2024/09/30,,,101.2963529,,,0.962672871,,,,,0
Total Portfolio Value B,2024/10/01,,,100.700415,,,-0.588311267,,,,,-0.588311267
Total Portfolio Value B,2024/10/03,,,101.3141697,,,0.609485717,,,,,0
Total Portfolio Value B,2024/10/04,,,101.2956591,,,-0.018270503,,,,,-0.018270503
Total Portfolio Value B,2024/10/07,,,101.2794974,,,-0.015954923,,,,,-0.034222512
Total Portfolio Value B,2024/10/08,,,101.4071076,,,0.125998028,,,,,0
Total Portfolio Value B,2024/10/09,,,101.052965,,,-0.349228588,,,,,-0.349228588
Total Portfolio Value B,2024/10/10,,,101.0635562,,,0.010480893,,,,,-0.338784297
Total Portfolio Value B,2024/10/11,,,100.9315797,,,-0.130587651,,,,,-0.468929537
Total Portfolio Value B,2024/10/14,,,101.175354,,,0.241524268,,,,,-0.228537848
Total Portfolio Value B,2024/10/15,,,101.0028704,,,-0.170479849,,,,,-0.398628086
Total Portfolio Value B,2024/10/16,,,100.7404754,,,-0.259789612,,,,,-0.657382104
Total Portfolio Value B,2024/10/17,,,101.1382657,,,0.394866438,,,,,-0.265111447
Total Portfolio Value B,2024/10/18,,,101.6663762,,,0.522166858,,,,,0
Total Portfolio Value B,2024/10/21,,,101.8102376,,,0.141503435,,,,,0
Total Portfolio Value B,2024/10/22,,,102.0450433,,,0.23063065,,,,,0
Total Portfolio Value B,2024/10/23,,,101.7982366,,,-0.24186048,,,,,-0.24186048
Total Portfolio Value B,2024/10/24,,,101.6447741,,,-0.150751657,,,,,-0.392247528
Total Portfolio Value B,2024/10/25,,,101.7560431,,,0.109468458,,,,,-0.283208457
Total Portfolio Value B,2024/10/28,,,101.6297388,,,-0.124124559,,,,,-0.406981485
Total Portfolio Value B,2024/10/29,,,102.2935075,,,0.653124491,,,,,0
Total Portfolio Value B,2024/10/30,,,101.7633133,,,-0.518306826,,,,,-0.518306826
Total Portfolio Value B,2024/10/31,,,101.8251775,,,0.060792277,,,,,-0.457829639
Total Portfolio Value B,2024/11/04,,,102.1118435,,,0.281527582,,,,,-0.177590973
Total Portfolio Value B,2024/11/05,,,102.2428988,,,0.128344873,,,,,-0.049474029
Total Portfolio Value B,2024/11/06,,,102.70783,,,0.454731956,,,,,0
Total Portfolio Value B,2024/11/07,,,102.6433846,,,-0.062746251,,,,,-0.062746251
Total Portfolio Value B,2024/11/08,,,102.4443668,,,-0.19389248,,,,,-0.256517071
Total Portfolio Value B,2024/11/11,,,102.224256,,,-0.214858943,,,,,-0.470824864
Total Portfolio Value B,2024/11/12,,,102.2251368,,,0.000861689,,,,,-0.469967232
Total Portfolio Value B,2024/11/13,,,102.2251368,,,0,,,,,-0.469967232
Total Portfolio Value B,2024/11/14,,,102.2251368,,,0,,,,,-0.469967232
Total Portfolio Value A,2024/11/17,,,100,,,0,,,,,0
Total Portfolio Value A,2024/11/18,,,99.35850562,,,-0.641494383,,,,,0
Total Portfolio Value A,2024/11/19,,,99.52076187,,,0.163303841,,,,,0
Total Portfolio Value A,2024/11/21,,,99.52754914,,,0.006819955,,,,,0
Total Portfolio Value A,2024/11/22,,,100.0151256,,,0.489890913,,,,,0
Total Portfolio Value A,2024/11/25,,,101.9104249,,,1.895012691,,,,,0
Total Portfolio Value A,2024/11/26,,,101.8320506,,,-0.076905032,,,,,-0.076905032
Total Portfolio Value A,2024/11/27,,,102.1224671,,,0.285191583,,,,,0
Total Portfolio Value A,2024/11/28,,,102.2812699,,,0.155502319,,,,,0
Total Portfolio Value A,2024/11/29,,,102.414578,,,0.130334833,,,,,0
Total Portfolio Value A,2024/12/02,,,102.5799481,,,0.161471255,,,,,0
Total Portfolio Value A,2024/12/03,,,103.060562,,,0.468526191,,,,,0
Total Portfolio Value A,2024/12/04,,,103.0421088,,,-0.017905258,,,,,-0.017905258
Total Portfolio Value A,2024/12/05,,,102.7343859,,,-0.298638015,,,,,-0.316489801
Total Portfolio Value A,2024/12/06,,,102.8956557,,,0.156977445,,,,,-0.160009174
Total Portfolio Value A,2024/12/09,,,102.8817756,,,-0.013489507,,,,,-0.173477096
Total Portfolio Value A,2024/12/10,,,102.578375,,,-0.29490219,,,,,-0.467867698
Total Portfolio Value A,2024/12/11,,,102.5884811,,,0.009852144,,,,,-0.458061649
Total Portfolio Value A,2024/12/12,,,102.0930379,,,-0.482942345,,,,,-0.93879182
Total Portfolio Value A,2024/12/13,,,102.3508226,,,0.252499774,,,,,-0.688662493
Total Portfolio Value A,2024/12/16,,,102.2693689,,,-0.079582889,,,,,-0.767697325
Total Portfolio Value A,2024/12/17,,,101.9742653,,,-0.28855521,,,,,-1.054037305
Total Portfolio Value A,2024/12/18,,,101.8170775,,,-0.1541445,,,,,-1.206557064
Total Portfolio Value A,2024/12/19,,,103.2991977,,,1.455669465,,,,,0
Total Portfolio Value A,2024/12/20,,,104.1605944,,,0.833885249,,,,,0
Total Portfolio Value A,2024/12/23,,,102.6808288,,,-1.42065779,,,,,-1.42065779
Total Portfolio Value A,2024/12/24,,,102.134554,,,-0.532012458,,,,,-1.945112171
Total Portfolio Value A,2024/12/26,,,101.5586726,,,-0.563845862,,,,,-2.497990599
Total Portfolio Value A,2024/12/27,,,101.4290475,,,-0.127635682,,,,,-2.622437953
Total Portfolio Value A,2024/12/30,,,100.0651451,,,-1.344686203,,,,,-3.931860595
Total Portfolio Value A,2024/12/31,,,100.4173458,,,0.351971436,,,,,-3.593728186
Total Portfolio Value A,2025/01/01,,,100.4945678,,,0.076901067,,,,,-3.519590734
Total Portfolio Value A,2025/01/02,,,101.4694586,,,0.970093032,,,,,-2.583641006
Total Portfolio Value A,2025/01/03,,,101.2878692,,,-0.178959643,,,,,-2.757976975
Total Portfolio Value A,2025/01/06,,,99.96185397,,,-1.309155034,,,,,-4.031025815
Total Portfolio Value A,2025/01/07,,,99.49938512,,,-0.46264533,,,,,-4.475021792
Total Portfolio Value A,2025/01/08,,,99.87074134,,,0.373224634,,,,,-4.118499041
Total Portfolio Value A,2025/01/09,,,100.4384232,,,0.568416565,,,,,-3.573492707
Total Portfolio Value A,2025/01/10,,,99.42655745,,,-1.007448839,,,,,-4.544940436
Total Portfolio Value A,2025/01/13,,,98.06924487,,,-1.365140875,,,,,-5.848036472
Total Portfolio Value A,2025/01/14,,,98.31788722,,,0.253537535,,,,,-5.609325904
Total Portfolio Value A,2025/01/15,,,98.5216098,,,0.207208058,,,,,-5.413740821
Total Portfolio Value A,2025/01/16,,,98.95075536,,,0.435585203,,,,,-5.001737072
Total Portfolio Value A,2025/01/17,,,99.33999292,,,0.393364922,,,,,-4.62804723
Total Portfolio Value A,2025/01/20,,,99.77461072,,,0.437505365,,,,,-4.21078982
Total Portfolio Value A,2025/01/21,,,99.12108874,,,-0.654998271,,,,,-4.83820749
Total Portfolio Value A,2025/01/22,,,98.85463941,,,-0.268811947,,,,,-5.094013757
Total Portfolio Value A,2025/01/23,,,98.4324967,,,-0.427033788,,,,,-5.499294385
Total Portfolio Value A,2025/01/24,,,97.82099524,,,-0.621239409,,,,,-6.08637001
Total Portfolio Value A,2025/01/27,,,96.70787641,,,-1.137914036,,,,,-7.155026387
Total Portfolio Value A,2025/01/28,,,95.96488011,,,-0.76828933,,,,,-7.868344413
Total Portfolio Value A,2025/01/29,,,96.05443101,,,0.093316325,,,,,-7.782370538
Total Portfolio Value A,2025/01/30,,,96.47297791,,,0.435739291,,,,,-7.380542093
Total Portfolio Value A,2025/01/31,,,97.24481629,,,0.800056559,,,,,-6.639534046
