System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
QYE NPSAR1,2025-11-28,278452.78,277777.78,100.03,100.00,675.00,0.03,2222222.24,0.00,0.00,0.00,0.00
QYE NPSAR10,2025-11-28,624931.13,625000.00,100.00,100.00,-68.87,0.00,5000000.00,0.00,0.00,0.00,0.00
QYE NPSAR11,2025-11-28,619324.39,625000.00,99.89,100.00,-5675.61,-0.11,5000000.00,0.00,0.00,0.00,-0.11
QYE NPSAR12,2025-11-28,625934.31,625000.00,100.02,100.00,934.31,0.02,5000000.00,0.00,0.00,0.00,0.00
QYE NPSAR13,2025-11-28,629555.66,625000.00,100.09,100.00,4555.66,0.09,5000000.00,0.00,0.00,0.00,0.00
QYE NPSAR2,2025-11-28,279191.53,277777.78,100.06,100.00,1413.75,0.06,2222222.24,0.00,0.00,0.00,0.00
QYE NPSAR3,2025-11-28,279184.03,277777.78,100.06,100.00,1406.25,0.06,2222222.24,0.00,0.00,0.00,0.00
QYE NPSAR4,2025-11-28,279184.03,277777.78,100.06,100.00,1406.25,0.06,2222222.24,0.00,0.00,0.00,0.00
QYE NPSAR5,2025-11-28,279184.03,277777.78,100.06,100.00,1406.25,0.06,2222222.24,0.00,0.00,0.00,0.00
QYE NPSAR6,2025-11-28,279019.03,277777.78,100.06,100.00,1241.25,0.06,2222222.24,0.00,0.00,0.00,0.00
QYE NPSAR7,2025-11-28,279019.03,277777.78,100.06,100.00,1241.25,0.06,2222222.24,0.00,0.00,0.00,0.00
QYE NPSAR8,2025-11-28,279019.03,277777.78,100.06,100.00,1241.25,0.06,2222222.24,0.00,0.00,0.00,0.00
QYE NPSAR9,2025-11-28,279019.03,277777.78,100.06,100.00,1241.25,0.06,2222222.24,0.00,0.00,0.00,0.00
QYE SPSAR1,2025-11-28,278946.78,277777.78,100.05,100.00,1169.00,0.05,2222222.24,0.00,0.00,0.00,0.00
QYE SPSAR10,2025-11-28,624698.24,625000.00,99.99,100.00,-301.76,-0.01,5000000.00,0.00,0.00,0.00,-0.01
QYE SPSAR11,2025-11-28,612555.01,625000.00,99.75,100.00,-12444.99,-0.25,5000000.00,0.00,0.00,0.00,-0.25
QYE SPSAR12,2025-11-28,624231.34,625000.00,99.98,100.00,-768.66,-0.02,5000000.00,0.00,0.00,0.00,-0.02
QYE SPSAR13,2025-11-28,626990.15,625000.00,100.04,100.00,1990.15,0.04,5000000.00,0.00,0.00,0.00,0.00
QYE SPSAR2,2025-11-28,278946.78,277777.78,100.05,100.00,1169.00,0.05,2222222.24,0.00,0.00,0.00,0.00
QYE SPSAR3,2025-11-28,278946.78,277777.78,100.05,100.00,1169.00,0.05,2222222.24,0.00,0.00,0.00,0.00
QYE SPSAR4,2025-11-28,278946.78,277777.78,100.05,100.00,1169.00,0.05,2222222.24,0.00,0.00,0.00,0.00
QYE SPSAR5,2025-11-28,278946.78,277777.78,100.05,100.00,1169.00,0.05,2222222.24,0.00,0.00,0.00,0.00
QYE SPSAR6,2025-11-28,278946.78,277777.78,100.05,100.00,1169.00,0.05,2222222.24,0.00,0.00,0.00,0.00
QYE SPSAR7,2025-11-28,278946.78,277777.78,100.05,100.00,1169.00,0.05,2222222.24,0.00,0.00,0.00,0.00
QYE SPSAR8,2025-11-28,278946.78,277777.78,100.05,100.00,1169.00,0.05,2222222.24,0.00,0.00,0.00,0.00
QYE SPSAR9,2025-11-28,278946.78,277777.78,100.05,100.00,1169.00,0.05,2222222.24,0.00,0.00,0.00,0.00
QYE NLONG1,2025-11-28,0.00,0.00,100.00,100.00,0.00,0.00,1666666.67,0.00,0.00,0.00,0.00
QYE NLONG10,2025-11-28,0.00,0.00,100.00,100.00,0.00,0.00,1666666.67,0.00,0.00,0.00,0.00
QYE NLONG11,2025-11-28,0.00,0.00,100.00,100.00,0.00,0.00,1666666.67,0.00,0.00,0.00,0.00
QYE NLONG12,2025-11-28,0.00,0.00,100.00,100.00,0.00,0.00,1666666.67,0.00,0.00,0.00,0.00
QYE NLONG13,2025-11-28,0.00,0.00,100.00,100.00,0.00,0.00,1666666.67,0.00,0.00,0.00,0.00
QYE NLONG14,2025-11-28,0.00,0.00,100.00,100.00,0.00,0.00,1666666.67,0.00,0.00,0.00,0.00
QYE NLONG15,2025-11-28,0.00,0.00,100.00,100.00,0.00,0.00,1666666.67,0.00,0.00,0.00,0.00
QYE NLONG16,2025-11-28,0.00,0.00,100.00,100.00,0.00,0.00,1666666.67,0.00,0.00,0.00,0.00
QYE NLONG17,2025-11-28,0.00,0.00,100.00,100.00,0.00,0.00,1666666.67,0.00,0.00,0.00,0.00
QYE NLONG18,2025-11-28,0.00,0.00,100.00,100.00,0.00,0.00,1666666.67,0.00,0.00,0.00,0.00
