System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %,,,,
NPSAR1,2025-06-25,190179.20,185551.70,100.31,100.00,4627.50,0.31,1484413.57,0.00,0.00,0.00,0.00,,,,
NPSAR10,2025-06-25,406565.75,417491.31,99.67,100.00,-10925.56,-0.33,3339930.50,0.00,0.00,0.00,-0.33,,,,
NPSAR11,2025-06-25,410321.68,417491.31,99.79,100.00,-7169.63,-0.21,3339930.50,0.00,0.00,0.00,-0.21,,,,
NPSAR12,2025-06-25,413740.14,417491.31,99.89,100.00,-3751.17,-0.11,3339930.50,0.00,0.00,0.00,-0.11,,,,
NPSAR13,2025-06-25,422487.72,417491.31,100.15,100.00,4996.41,0.15,3339930.50,0.00,0.00,0.00,0.00,,,,
NPSAR2,2025-06-25,188322.95,185551.70,100.19,100.00,2771.25,0.19,1484413.57,0.00,0.00,0.00,0.00,,,,
NPSAR3,2025-06-25,187179.20,185551.70,100.11,100.00,1627.50,0.11,1484413.57,0.00,0.00,0.00,0.00,,,,
NPSAR4,2025-06-25,187179.20,185551.70,100.11,100.00,1627.50,0.11,1484413.57,0.00,0.00,0.00,0.00,,,,
NPSAR5,2025-06-25,190179.20,185551.70,100.31,100.00,4627.50,0.31,1484413.57,0.00,0.00,0.00,0.00,,,,
NPSAR6,2025-06-25,190179.20,185551.70,100.31,100.00,4627.50,0.31,1484413.57,0.00,0.00,0.00,0.00,,,,
NPSAR7,2025-06-25,188322.95,185551.70,100.19,100.00,2771.25,0.19,1484413.57,0.00,0.00,0.00,0.00,,,,
NPSAR8,2025-06-25,195837.95,185551.70,100.69,100.00,10286.25,0.69,1484413.57,0.00,0.00,0.00,0.00,,,,
NPSAR9,2025-06-25,195837.95,185551.70,100.69,100.00,10286.25,0.69,1484413.57,0.00,0.00,0.00,0.00,,,,
SPSAR1,2025-06-25,190475.70,185551.70,100.33,100.00,4924.00,0.33,1484413.57,0.00,0.00,0.00,0.00,,,,
SPSAR10,2025-06-25,408963.58,417491.31,99.74,100.00,-8527.73,-0.26,3339930.50,0.00,0.00,0.00,-0.26,,,,
SPSAR11,2025-06-25,412498.77,417491.31,99.85,100.00,-4992.54,-0.15,3339930.50,0.00,0.00,0.00,-0.15,,,,
SPSAR12,2025-06-25,416990.60,417491.31,99.99,100.00,-500.71,-0.01,3339930.50,0.00,0.00,0.00,-0.01,,,,
SPSAR13,2025-06-25,418619.48,417491.31,100.03,100.00,1128.17,0.03,3339930.50,0.00,0.00,0.00,0.00,,,,
SPSAR2,2025-06-25,190475.70,185551.70,100.33,100.00,4924.00,0.33,1484413.57,0.00,0.00,0.00,0.00,,,,
SPSAR3,2025-06-25,190475.70,185551.70,100.33,100.00,4924.00,0.33,1484413.57,0.00,0.00,0.00,0.00,,,,
SPSAR4,2025-06-25,190475.70,185551.70,100.33,100.00,4924.00,0.33,1484413.57,0.00,0.00,0.00,0.00,,,,
SPSAR5,2025-06-25,190475.70,185551.70,100.33,100.00,4924.00,0.33,1484413.57,0.00,0.00,0.00,0.00,,,,
SPSAR6,2025-06-25,190475.70,185551.70,100.33,100.00,4924.00,0.33,1484413.57,0.00,0.00,0.00,0.00,,,,
SPSAR7,2025-06-25,190475.70,185551.70,100.33,100.00,4924.00,0.33,1484413.57,0.00,0.00,0.00,0.00,,,,
SPSAR8,2025-06-25,190475.70,185551.70,100.33,100.00,4924.00,0.33,1484413.57,0.00,0.00,0.00,0.00,,,,
SPSAR9,2025-06-25,190475.70,185551.70,100.33,100.00,4924.00,0.33,1484413.57,0.00,0.00,0.00,0.00,,,,
BNLONG1,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG10,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG11,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG12,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG2,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG3,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG4,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG5,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG6,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG7,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG8,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG9,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG1,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG10,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG11,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG12,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG2,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG3,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG4,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG5,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG6,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG7,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG8,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG9,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
NLONG1,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG10,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
