System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
NPSAR1,2026-01-20,173281.26,169215.59,100.30,100.00,4065.67,0.30,1353724.68,0.00,0.00,0.00,0.00
NPSAR10,2026-01-20,386679.99,380735.06,100.20,100.00,5944.93,0.20,3045880.50,0.00,0.00,0.00,0.00
NPSAR11,2026-01-20,387671.41,380735.06,100.23,100.00,6936.35,0.23,3045880.50,0.00,0.00,0.00,0.00
NPSAR12,2026-01-20,390020.22,380735.06,100.30,100.00,9285.16,0.30,3045880.50,0.00,0.00,0.00,0.00
NPSAR13,2026-01-20,389769.92,380735.06,100.30,100.00,9034.86,0.30,3045880.50,0.00,0.00,0.00,0.00
NPSAR2,2026-01-20,173170.15,169215.59,100.29,100.00,3954.56,0.29,1353724.68,0.00,0.00,0.00,0.00
NPSAR3,2026-01-20,173189.69,169215.59,100.29,100.00,3974.10,0.29,1353724.68,0.00,0.00,0.00,0.00
NPSAR4,2026-01-20,175322.11,169215.59,100.45,100.00,6106.52,0.45,1353724.68,0.00,0.00,0.00,0.00
NPSAR5,2026-01-20,175344.96,169215.59,100.45,100.00,6129.37,0.45,1353724.68,0.00,0.00,0.00,0.00
NPSAR6,2026-01-20,175210.88,169215.59,100.44,100.00,5995.29,0.44,1353724.68,0.00,0.00,0.00,0.00
NPSAR7,2026-01-20,175145.53,169215.59,100.44,100.00,5929.94,0.44,1353724.68,0.00,0.00,0.00,0.00
NPSAR8,2026-01-20,176567.85,169215.59,100.54,100.00,7352.26,0.54,1353724.68,0.00,0.00,0.00,0.00
NPSAR9,2026-01-20,176084.00,169215.59,100.51,100.00,6868.41,0.51,1353724.68,0.00,0.00,0.00,0.00
SPSAR1,2026-01-20,173692.59,169215.59,100.33,100.00,4477.00,0.33,1353724.68,0.00,0.00,0.00,0.00
SPSAR10,2026-01-20,388521.06,380735.06,100.26,100.00,7786.00,0.26,3045880.50,0.00,0.00,0.00,0.00
SPSAR11,2026-01-20,389284.02,380735.06,100.28,100.00,8548.96,0.28,3045880.50,0.00,0.00,0.00,0.00
SPSAR12,2026-01-20,389284.02,380735.06,100.28,100.00,8548.96,0.28,3045880.50,0.00,0.00,0.00,0.00
SPSAR13,2026-01-20,392207.72,380735.06,100.38,100.00,11472.66,0.38,3045880.50,0.00,0.00,0.00,0.00
SPSAR2,2026-01-20,173692.59,169215.59,100.33,100.00,4477.00,0.33,1353724.68,0.00,0.00,0.00,0.00
