System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %,
NPSAR1,2025-06-26,178051.82,175944.38,100.15,100.00,2107.44,0.15,1407555.07,0.00,0.00,0.00,0.00,
NPSAR10,2025-06-26,404760.44,395874.86,100.28,100.00,8885.58,0.28,3166998.88,0.00,0.00,0.00,0.00,
NPSAR11,2025-06-26,404760.44,395874.86,100.28,100.00,8885.58,0.28,3166998.88,0.00,0.00,0.00,0.00,
NPSAR12,2025-06-26,404760.44,395874.86,100.28,100.00,8885.58,0.28,3166998.88,0.00,0.00,0.00,0.00,
NPSAR13,2025-06-26,398055.05,395874.86,100.07,100.00,2180.19,0.07,3166998.88,0.00,0.00,0.00,0.00,
NPSAR2,2025-06-26,177568.22,175944.38,100.12,100.00,1623.84,0.12,1407555.07,0.00,0.00,0.00,0.00,
NPSAR3,2025-06-26,177283.22,175944.38,100.10,100.00,1338.84,0.10,1407555.07,0.00,0.00,0.00,0.00,
NPSAR4,2025-06-26,177283.22,175944.38,100.10,100.00,1338.84,0.10,1407555.07,0.00,0.00,0.00,0.00,
NPSAR5,2025-06-26,178051.82,175944.38,100.15,100.00,2107.44,0.15,1407555.07,0.00,0.00,0.00,0.00,
NPSAR6,2025-06-26,178051.82,175944.38,100.15,100.00,2107.44,0.15,1407555.07,0.00,0.00,0.00,0.00,
NPSAR7,2025-06-26,177568.22,175944.38,100.12,100.00,1623.84,0.12,1407555.07,0.00,0.00,0.00,0.00,
NPSAR8,2025-06-26,180387.17,175944.38,100.32,100.00,4442.79,0.32,1407555.07,0.00,0.00,0.00,0.00,
NPSAR9,2025-06-26,180387.17,175944.38,100.32,100.00,4442.79,0.32,1407555.07,0.00,0.00,0.00,0.00,
SPSAR1,2025-06-26,179619.38,175944.38,100.26,100.00,3675.00,0.26,1407555.07,0.00,0.00,0.00,0.00,
SPSAR10,2025-06-26,407952.86,395874.86,100.38,100.00,12078.00,0.38,3166998.88,0.00,0.00,0.00,0.00,
SPSAR11,2025-06-26,406820.86,395874.86,100.35,100.00,10946.00,0.35,3166998.88,0.00,0.00,0.00,0.00,
SPSAR12,2025-06-26,405824.86,395874.86,100.31,100.00,9950.00,0.31,3166998.88,0.00,0.00,0.00,0.00,
SPSAR13,2025-06-26,405824.86,395874.86,100.31,100.00,9950.00,0.31,3166998.88,0.00,0.00,0.00,0.00,
SPSAR2,2025-06-26,179619.38,175944.38,100.26,100.00,3675.00,0.26,1407555.07,0.00,0.00,0.00,0.00,
SPSAR3,2025-06-26,179619.38,175944.38,100.26,100.00,3675.00,0.26,1407555.07,0.00,0.00,0.00,0.00,
SPSAR4,2025-06-26,179619.38,175944.38,100.26,100.00,3675.00,0.26,1407555.07,0.00,0.00,0.00,0.00,
SPSAR5,2025-06-26,179619.38,175944.38,100.26,100.00,3675.00,0.26,1407555.07,0.00,0.00,0.00,0.00,
SPSAR6,2025-06-26,179619.38,175944.38,100.26,100.00,3675.00,0.26,1407555.07,0.00,0.00,0.00,0.00,
SPSAR7,2025-06-26,179619.38,175944.38,100.26,100.00,3675.00,0.26,1407555.07,0.00,0.00,0.00,0.00,
SPSAR8,2025-06-26,179619.38,175944.38,100.26,100.00,3675.00,0.26,1407555.07,0.00,0.00,0.00,0.00,
SPSAR9,2025-06-26,179619.38,175944.38,100.26,100.00,3675.00,0.26,1407555.07,0.00,0.00,0.00,0.00,
BNLONG1,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG10,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG11,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG12,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG2,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG3,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG4,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG5,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG6,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG7,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG8,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG9,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG1,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG10,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG11,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG12,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG2,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG3,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG4,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG5,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG6,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG7,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG8,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG9,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NLONG1,2025-06-26,2994.34,0.00,100.28,100.00,2994.34,0.28,1055666.29,0.00,0.00,0.00,0.00,
NLONG10,2025-06-26,2623.76,0.00,100.25,100.00,2623.76,0.25,1055666.29,0.00,0.00,0.00,0.00,
NLONG11,2025-06-26,11492.21,0.00,101.09,100.00,11492.21,1.09,1055666.29,0.00,0.00,0.00,0.00,
NLONG12,2025-06-26,10687.81,0.00,101.01,100.00,10687.81,1.01,1055666.29,0.00,0.00,0.00,0.00,
NLONG13,2025-06-26,1364.00,0.00,100.13,100.00,1364.00,0.13,1055666.29,0.00,0.00,0.00,0.00,
NLONG14,2025-06-26,1364.00,0.00,100.13,100.00,1364.00,0.13,1055666.29,0.00,0.00,0.00,0.00,
NLONG15,2025-06-26,5347.52,0.00,100.51,100.00,5347.52,0.51,1055666.29,0.00,0.00,0.00,0.00,
NLONG16,2025-06-26,4261.04,0.00,100.40,100.00,4261.04,0.40,1055666.29,0.00,0.00,0.00,0.00,
NLONG17,2025-06-26,1364.00,0.00,100.13,100.00,1364.00,0.13,1055666.29,0.00,0.00,0.00,0.00,
NLONG18,2025-06-26,1364.00,0.00,100.13,100.00,1364.00,0.13,1055666.29,0.00,0.00,0.00,0.00,
NLONG19,2025-06-26,9845.79,0.00,100.93,100.00,9845.79,0.93,1055666.29,0.00,0.00,0.00,0.00,
NLONG2,2025-06-26,2916.32,0.00,100.28,100.00,2916.32,0.28,1055666.29,0.00,0.00,0.00,0.00,
NLONG20,2025-06-26,4924.19,0.00,100.47,100.00,4924.19,0.47,1055666.29,0.00,0.00,0.00,0.00,
NLONG21,2025-06-26,-885.40,0.00,99.92,100.00,-885.40,-0.08,1055666.29,0.00,0.00,0.00,-0.08,
NLONG22,2025-06-26,-885.40,0.00,99.92,100.00,-885.40,-0.08,1055666.29,0.00,0.00,0.00,-0.08,
NLONG23,2025-06-26,3840.84,0.00,100.36,100.00,3840.84,0.36,1055666.29,0.00,0.00,0.00,0.00,
NLONG24,2025-06-26,-7158.12,0.00,99.32,100.00,-7158.12,-0.68,1055666.29,0.00,0.00,0.00,-0.68,
NLONG3,2025-06-26,4389.33,0.00,100.42,100.00,4389.33,0.42,1055666.29,0.00,0.00,0.00,0.00,
NLONG4,2025-06-26,-6120.14,0.00,99.42,100.00,-6120.14,-0.58,1055666.29,0.00,0.00,0.00,-0.58,
NLONG5,2025-06-26,3138.67,0.00,100.30,100.00,3138.67,0.30,1055666.29,0.00,0.00,0.00,0.00,
NLONG6,2025-06-26,2623.76,0.00,100.25,100.00,2623.76,0.25,1055666.29,0.00,0.00,0.00,0.00,
NLONG7,2025-06-26,11492.21,0.00,101.09,100.00,11492.21,1.09,1055666.29,0.00,0.00,0.00,0.00,
NLONG8,2025-06-26,10687.81,0.00,101.01,100.00,10687.81,1.01,1055666.29,0.00,0.00,0.00,0.00,
NLONG9,2025-06-26,3138.67,0.00,100.30,100.00,3138.67,0.30,1055666.29,0.00,0.00,0.00,0.00,
SLONG1,2025-06-26,2663.56,0.00,100.25,100.00,2663.56,0.25,1055666.29,0.00,0.00,0.00,0.00,
SLONG10,2025-06-26,2508.57,0.00,100.24,100.00,2508.57,0.24,1055666.29,0.00,0.00,0.00,0.00,
SLONG11,2025-06-26,1951.00,0.00,100.18,100.00,1951.00,0.18,1055666.29,0.00,0.00,0.00,0.00,
SLONG12,2025-06-26,2508.57,0.00,100.24,100.00,2508.57,0.24,1055666.29,0.00,0.00,0.00,0.00,
SLONG13,2025-06-26,216.10,0.00,100.02,100.00,216.10,0.02,1055666.29,0.00,0.00,0.00,0.00,
SLONG14,2025-06-26,216.10,0.00,100.02,100.00,216.10,0.02,1055666.29,0.00,0.00,0.00,0.00,
SLONG15,2025-06-26,216.10,0.00,100.02,100.00,216.10,0.02,1055666.29,0.00,0.00,0.00,0.00,
SLONG16,2025-06-26,216.10,0.00,100.02,100.00,216.10,0.02,1055666.29,0.00,0.00,0.00,0.00,
SLONG17,2025-06-26,216.10,0.00,100.02,100.00,216.10,0.02,1055666.29,0.00,0.00,0.00,0.00,
SLONG18,2025-06-26,216.10,0.00,100.02,100.00,216.10,0.02,1055666.29,0.00,0.00,0.00,0.00,
SLONG19,2025-06-26,962.99,0.00,100.09,100.00,962.99,0.09,1055666.29,0.00,0.00,0.00,0.00,
SLONG2,2025-06-26,2579.30,0.00,100.24,100.00,2579.30,0.24,1055666.29,0.00,0.00,0.00,0.00,
SLONG20,2025-06-26,887.05,0.00,100.08,100.00,887.05,0.08,1055666.29,0.00,0.00,0.00,0.00,
SLONG21,2025-06-26,-820.23,0.00,99.92,100.00,-820.23,-0.08,1055666.29,0.00,0.00,0.00,-0.08,
SLONG22,2025-06-26,-820.23,0.00,99.92,100.00,-820.23,-0.08,1055666.29,0.00,0.00,0.00,-0.08,
SLONG23,2025-06-26,-711.00,0.00,99.93,100.00,-711.00,-0.07,1055666.29,0.00,0.00,0.00,-0.07,
